epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.3573,1.06444,3.37409,1.19726,0.00405,1,0.58039,0.43243,0.79691,3.64604,1.29345,0.000416792,0.000416792,0.000416792
2,59.7982,0.90908,2.27497,1.17593,0.00409,1,0.92533,0.70123,0.75177,3.28012,1.14417,0.000819442,0.000819442,0.000819442
3,89.8903,0.79571,3.07728,1.16225,0.00432,1,0.58971,0.43119,0.8451,3.56647,1.31031,0.0011435,0.0011435,0.0011435
4,116.965,0.74761,2.71327,1.10782,0.00491,1,0.85561,0.53762,0.96003,3.63127,1.49819,0.00107532,0.00107532,0.00107532
5,145.122,0.78456,2.77525,1.09885,0.00384,1,0.72863,0.49248,1.03538,3.84626,1.60439,0.00095743,0.00095743,0.00095743
6,178.146,0.75983,2.62475,1.07444,0.96805,0.33333,0.995,0.78635,0.73021,3.06346,1.2594,0.000839537,0.000839537,0.000839537
7,215.64,0.7536,2.24087,1.0285,0.91463,1,0.995,0.75739,0.63124,2.44047,0.98402,0.000721645,0.000721645,0.000721645
8,269.944,0.64324,2.11468,0.98303,0.97471,0.99524,0.995,0.85048,0.54635,2.14119,0.89123,0.000603752,0.000603752,0.000603752
9,332.749,0.5932,1.9772,0.96227,0.97675,1,0.995,0.86285,0.51909,2.1071,0.86113,0.00048586,0.00048586,0.00048586
10,395.714,0.5424,1.945,0.93071,0.99009,1,0.995,0.86642,0.53127,1.96168,0.8628,0.000367967,0.000367967,0.000367967
11,450.382,0.53851,1.82996,0.86762,0.97334,1,0.995,0.88551,0.47251,1.84147,0.83039,0.000250075,0.000250075,0.000250075
12,504.756,0.49934,1.82745,0.87636,0.97792,1,0.995,0.90075,0.421,1.70466,0.81499,0.000132183,0.000132183,0.000132183
