epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.9387,1.33543,2.55436,1.74155,1,0.53317,0.74442,0.53155,1.10408,4.6566,1.56228,0.000469982,0.000469982,0.000469982
2,129.039,1.07461,1.82681,1.43959,0.80293,0.75794,0.80859,0.5269,1.34303,4.37221,1.84258,0.000899473,0.000899473,0.000899473
3,192.76,0.99024,1.62018,1.3871,0.97417,0.76803,0.94396,0.67639,1.04718,3.58899,1.46824,0.00128181,0.00128181,0.00128181
4,260.111,1.03466,1.56158,1.423,0.90655,0.69643,0.8373,0.53372,1.28755,3.48677,1.55358,0.00121679,0.00121679,0.00121679
5,326.754,1.02788,1.47793,1.41355,0.96866,0.65476,0.7763,0.53582,1.29074,3.0217,1.61123,0.00114606,0.00114606,0.00114606
6,390.745,0.95829,1.34197,1.35863,0.95694,0.70949,0.835,0.66885,1.06824,3.07354,1.4132,0.00107532,0.00107532,0.00107532
7,455.111,0.93603,1.26684,1.31862,0.95346,0.84988,0.92806,0.62426,1.3496,2.49479,1.68861,0.00100459,0.00100459,0.00100459
8,520.402,0.83695,1.12509,1.24702,0.94726,0.70045,0.91295,0.65308,1.10507,1.91897,1.39985,0.000933851,0.000933851,0.000933851
9,584.535,0.81385,1.12911,1.23476,0.94841,0.77203,0.87925,0.67255,0.91983,1.86929,1.31093,0.000863116,0.000863116,0.000863116
10,650.28,0.79986,1.05261,1.19758,0.9655,0.88837,0.98574,0.80875,0.81723,1.76157,1.1459,0.00079238,0.00079238,0.00079238
11,714.771,0.81047,1.02191,1.22594,0.98051,0.8601,0.96151,0.71446,1.00017,1.81328,1.29352,0.000721645,0.000721645,0.000721645
12,778.644,0.72692,0.91513,1.17433,0.91718,1,0.98574,0.75887,0.8994,1.5322,1.17309,0.000650909,0.000650909,0.000650909
13,843.573,0.73015,0.86334,1.15754,0.93951,0.90992,0.98463,0.74991,0.83371,1.34165,1.18695,0.000580174,0.000580174,0.000580174
14,908.343,0.67786,0.8079,1.14379,0.98519,0.99166,0.995,0.73767,0.89157,1.57335,1.20592,0.000509438,0.000509438,0.000509438
15,1001.78,0.6839,0.81404,1.13028,0.97073,0.92823,0.98917,0.74629,0.88497,1.51572,1.22252,0.000438703,0.000438703,0.000438703
16,1088.78,0.54548,1.01171,1.0848,0.94437,0.98215,0.99056,0.78327,0.8603,1.5244,1.21007,0.000367967,0.000367967,0.000367967
17,1177.88,0.52837,1.12014,1.04121,0.94246,0.96596,0.99295,0.79042,0.78953,1.43595,1.21385,0.000297232,0.000297232,0.000297232
18,1257.63,0.50081,0.83996,1.04624,0.97217,0.98038,0.995,0.83804,0.68634,1.23105,1.1022,0.000226497,0.000226497,0.000226497
19,1337.2,0.50979,0.80187,1.028,0.98344,0.99656,0.995,0.80297,0.80129,1.23586,1.11736,0.000155761,0.000155761,0.000155761
20,1421.4,0.46898,0.88187,1.01247,0.98436,0.99031,0.995,0.81536,0.80106,1.22612,1.10901,8.50255e-05,8.50255e-05,8.50255e-05
